cl_from	cl_to
816897	361955
842030	361955
60979	1278
106252	1278
128626	1465416
149870	1545
322515	361955
354613	361955
407688	361955
459802	362559
447965	362559
819585	361955
983233	1610978
193320	808
193320	11032
209377	1440332
446981	362559
51957	5633
80259	1550796
257647	1411
257647	1431
294573	1258
91700	1651050
911280	1651050
693283	361955
664796	1067
664796	1584597
838306	803
429232	362559
880390	361955
855925	5369
1052370	1076
74576	1196
810941	361955
1231072	5322
820644	361955
303335	984
885215	361955
869806	361955
1162963	609737
1162965	609737
1162967	609737
445693	362559
660625	1001825
825823	361955
608876	361955
391767	362559
451320	362559
834316	361955
402609	1001825
438574	362559
653919	361955
474950	362559
1172073	6177
592197	1582673
17867	517858
533577	5588
483301	361955
824994	361955
814941	361955
846043	361955
978187	1580161
753982	1613301
1024656	312430
753983	1613301
879845	361955
455849	362559
875372	361955
863202	361955
1157525	241620
843779	706
861810	361955
456944	1309
1149345	756
1149345	1309
1140183	1653243
704183	417
704183	4735
459061	1182
98246	1243
124226	5324
124226	5331
321137	948
816549	1651050
86931	875
773018	593951
664941	1544
850459	361955
880403	361955
590117	845
565228	1406531
773759	1671859
504835	1671859
37251	1625786
791600	1662159
773756	1671859
775398	1671859
504725	1671859
760971	1625786
1014602	312430
1024814	1499472
965408	1508517
965423	1508514
965423	1508516
965423	1508517
382887	1529
467720	1610978
468073	1610978
1255891	4865
295568	186059
295568	1550796
886209	186057
320324	593921
463926	362559
449074	362559
799132	241893
481115	1114
456532	362559
344641	138976
418586	1526845
1175246	5395
465514	5617
1164004	1610978
1249270	312430
1163304	1610978
1163304	1665726
157907	937
567680	1486
90828	1491
397110	5352
847267	361955
820339	361955
827913	361955
820948	361955
868275	361955
462587	362559
149665	681680
156189	1481843
759885	1352
189603	1317
220652	1320
109213	1317
635481	1317
793819	1013
80035	990
905680	623
1092696	1610969
772923	1107
315213	1556548
791481	1519961
1071282	312430
1252774	623
68725	5388
149666	681680
134122	1309
698231	1653244
1041125	10777
230613	186073
746883	1406704
58840	312430
963198	235102
106250	873
62454	1226
524699	138981
13635	1308
463736	362559
348555	5320
52339	952
18648	958
783594	1587
321684	983
321684	1375
76800	1199165
76800	1632759
76800	1632763
468307	362559
1243652	1620878
314196	5628
447181	362559
880777	361955
890575	361955
291694	1531
1063680	362559
846351	361955
953199	312430
443671	10789
179385	10708
882996	361955
864651	361955
286192	1451
400782	10822
418614	1046
639327	1044
639324	1101
324346	1101
117238	1103
167829	1048
454094	1101
39461	1102
377326	1044
86448	1103
798750	1049
309647	640
692117	803
121692	1406825
754247	11060
324655	1307
324655	1308
324655	11026
259339	1118
1222224	1421
1027778	1581021
817032	361955
505626	1182
578084	1035800
590874	919
590874	1058
463328	362559
750277	1653243
352765	10771
352765	10787
1062560	10783
948936	756
335185	1670765
471988	361955
868439	361955
574983	5628
755906	1613301
276354	1406531
824828	361955
434330	362559
875711	361955
1124981	362559
452754	362559
1248410	1584608
708608	1582613
1165624	1500439
436241	362559
732252	25222
809468	1406050
697468	1225547
10625	361955
460283	362559
814391	361955
937894	1106
794477	1674225
1122646	312430
459670	809
1144224	1515338
1078132	1480002
844114	361955
838009	1482238
406892	10771
1215822	609737
815894	5359
815894	10703
1215785	609737
1248923	1584199
423094	1465292
118494	1440332
181466	1426
862899	763
40109	1363
40109	11026
833245	158477
987941	5321
987941	5344
1237111	937272
1011158	1406704
786684	1658604
19326	1306
1066677	312430
14270	5397
7620	1046445
1182567	361955
817898	361955
197050	5635
871334	1542205
265205	5392
112942	1180
1127730	610
360269	489159
869127	241708
1247550	5326
1247550	5341
852827	1658604
1087323	1610978
1201044	499024
941220	1020
1242952	840
1248385	1585657
314360	1356
137406	5629
1215896	609737
426062	1375
849919	139879
16536	951
106251	734
438198	362559
883975	361955
136782	1485
813219	361955
934561	1582680
576174	1152
348714	1181
54795	241620
877964	361955
783606	1094
142986	312430
929521	1668903
440911	362559
198404	1114
392001	1610978
639221	1278
639221	1432
364170	1581024
57330	1471
1020275	1003748
909066	1473932
760190	1012
1139570	10789
189248	1527
189248	1584580
96094	1191
461506	362559
223430	1001825
1084036	1550796
96930	1201
141000	312430
881831	361955
815488	361955
458064	362559
291287	1001825
